Name,Spaces
PARNELL,25
ILAC,658
JERVIS,476
ARNOTTS,264
MARLBORO,169
ABBEY, 
THOMASST,188
C/CHURCH,FULL
SETANTA,FULL
DAWSON,130
TRINITY,177
GREENRCS, 
DRURY,FULL
B/THOMAS,246
