Name,Spaces
PARNELL,445
ILAC, 
JERVIS, 
ARNOTTS, 
MARLBORO,286
ABBEY, 
THOMASST, 
C/CHURCH,54
SETANTA,58
DAWSON, 
TRINITY,250
GREENRCS,1205
DRURY, 
B/THOMAS, 
